t,𝜑Iz,𝜑De
1.0,-0.05714285714285713,-0.5142857142857142
2.0,0.857142857142857,-1.4285714285714284
3.0,0.857142857142857,-1.4285714285714284
4.0,1.0857142857142856,-1.657142857142857
5.0,1.314285714285714,-1.8857142857142855
6.0,0.6285714285714286,-1.2
7.0,0.6285714285714284,-1.2
8.0,0.3999999999999999,-0.9714285714285713
9.0,0.1714285714285714,-0.7428571428571429
10.0,-0.057142857142857016,-0.5142857142857142
11.0,-0.057142857142857016,-0.5142857142857142
12.0,-0.2857142857142857,-0.2857142857142857
13.0,-0.28571428571428575,-0.2857142857142857
14.0,-0.2857142857142858,-0.28571428571428575
15.0,-0.2857142857142857,-0.2857142857142857
16.0,0.1714285714285715,-0.7428571428571429
17.0,1.542857142857143,-2.1142857142857143
18.0,1.0857142857142854,-1.657142857142857
19.0,0.857142857142857,-1.4285714285714284
20.0,0.6285714285714286,-1.2
